Date,Open,High,Low,Close,Volume,Change
2021-08-02,12550,12650,12450,12500,186132,-0.003984063745019917
2021-08-03,12450,12750,12250,12650,432320,0.01200000000000001
2021-08-04,12650,12800,12500,12750,266298,0.007905138339920903
2021-08-05,12750,12850,12700,12800,254069,0.0039215686274509665
2021-08-06,12800,12850,12700,12800,182057,0.0
2021-08-09,12800,12800,12600,12650,228615,-0.01171875
2021-08-10,12600,12700,12500,12650,228707,0.0
2021-08-11,12650,13000,12550,12650,637760,0.0
2021-08-12,12700,12800,12550,12600,282831,-0.0039525691699604515
2021-08-13,12650,12650,12100,12300,405566,-0.023809523809523836
2021-08-17,12250,12250,11800,11850,562530,-0.03658536585365857
2021-08-18,11800,11950,11600,11950,278097,0.00843881856540074
2021-08-19,11800,11850,11350,11400,500435,-0.046025104602510414
2021-08-20,11600,11650,11000,11100,391919,-0.02631578947368418
2021-08-23,11500,11850,11250,11850,480907,0.06756756756756754
2021-08-24,12150,12200,11600,11800,550789,-0.00421940928270037
2021-08-25,11600,11900,11550,11850,238497,0.004237288135593209
2021-08-26,11800,11950,11750,11850,168721,0.0
2021-08-27,11800,11950,11650,11900,249844,0.00421940928270037
2021-08-30,12050,12050,11800,12000,259231,0.008403361344537785
2021-08-31,12050,12200,11900,12100,244355,0.008333333333333304
2021-09-01,12100,12150,11900,12100,227475,0.0
2021-09-02,12150,12150,11900,11950,189937,-0.012396694214875992
2021-09-03,11950,12050,11900,11950,150380,0.0
2021-09-06,11950,11950,11750,11950,227616,0.0
2021-09-07,11950,11950,11750,11750,158041,-0.01673640167364021
2021-09-08,11750,11800,11600,11700,199014,-0.004255319148936176
2021-09-09,11650,11800,11500,11700,214696,0.0
2021-09-10,11600,11750,11550,11650,195001,-0.004273504273504258
2021-09-13,11700,11850,11550,11600,190720,-0.0042918454935622075
2021-09-14,11700,12150,11600,11950,601409,0.030172413793103425
2021-09-15,12000,12450,11900,12400,744895,0.03765690376569042
2021-09-16,12400,12400,12100,12300,366948,-0.008064516129032251
2021-09-17,12250,12400,12000,12300,377245,0.0
2021-09-23,12150,12650,12050,12450,696580,0.012195121951219523
2021-09-24,12650,12950,12650,12750,1246249,0.024096385542168752
2021-09-27,13050,13150,12850,12900,1058594,0.0117647058823529
2021-09-28,12900,13000,12600,12800,539012,-0.007751937984496138
2021-09-29,12450,13250,12400,13100,1089363,0.0234375
2021-09-30,13150,13450,13100,13350,976359,0.01908396946564883
2021-10-01,13400,13600,13100,13350,1043756,0.0
2021-10-05,13200,13500,12750,13200,1100193,-0.011235955056179803
2021-10-06,13300,13400,12600,12700,933868,-0.037878787878787845
2021-10-07,12800,12950,12550,12950,515789,0.019685039370078705
2021-10-08,13000,13000,12550,12550,448584,-0.030888030888030937
2021-10-12,12550,12550,12100,12100,428465,-0.03585657370517925
2021-10-13,12150,12500,12150,12300,353635,0.016528925619834656
2021-10-14,12300,12650,12200,12500,337459,0.016260162601626105
2021-10-15,12600,12750,12350,12550,369440,0.0040000000000000036
2021-10-18,12600,12600,12350,12450,237935,-0.007968127490039834
2021-10-19,12450,12900,12400,12850,564365,0.032128514056224855
2021-10-20,12900,12950,12600,12650,428384,-0.015564202334630295
2021-10-21,12650,12700,12450,12600,279192,-0.0039525691699604515
2021-10-22,12650,12700,12400,12500,247569,-0.007936507936507908
2021-10-25,12600,12650,12400,12600,227717,0.008000000000000007
2021-10-26,12550,12700,12550,12650,199314,0.003968253968253954
2021-10-27,12650,12650,12400,12550,273726,-0.007905138339920903
2021-10-28,12550,12600,12450,12450,195922,-0.007968127490039834
2021-10-29,12450,12500,12100,12100,320133,-0.028112449799196804
2021-11-01,12100,12300,12050,12200,175240,0.008264462809917328
2021-11-02,12200,12400,12150,12200,180666,0.0
2021-11-03,12350,12900,11950,12100,1014002,-0.008196721311475419
2021-11-04,12150,12200,11850,11900,398397,-0.016528925619834656
2021-11-05,11900,11900,11550,11750,308807,-0.012605042016806678
2021-11-08,11900,12150,11800,11950,270391,0.017021276595744705
2021-11-09,12100,12100,11700,11800,270764,-0.012552301255230103
2021-11-10,11800,11800,11250,11250,581981,-0.04661016949152541
2021-11-11,11200,11500,11200,11350,229813,0.008888888888888946
2021-11-12,11250,11750,11200,11650,260450,0.026431718061673992
2021-11-15,11700,11800,11550,11800,197236,0.012875536480686733
2021-11-16,11800,11800,11600,11750,213876,-0.004237288135593209
2021-11-17,11750,11800,11500,11650,242492,-0.008510638297872353
2021-11-18,11550,11600,11350,11400,202808,-0.02145922746781115
2021-11-19,11450,11650,11400,11600,159046,0.01754385964912286
2021-11-22,11650,11800,11500,11750,244855,0.012931034482758674
2021-11-23,11700,11900,11550,11600,352737,-0.012765957446808529
2021-11-24,11600,11600,11350,11400,211432,-0.017241379310344862
2021-11-25,11400,11550,11250,11350,166671,-0.004385964912280715
2021-11-26,11350,11350,10900,11000,334294,-0.03083700440528636
2021-11-29,10500,10850,10400,10550,591949,-0.040909090909090895
2021-11-30,10600,10700,10050,10100,802357,-0.042654028436018954
2021-12-01,10050,10250,9990,10200,363654,0.00990099009900991
2021-12-02,10050,10500,10000,10500,328386,0.02941176470588225
2021-12-03,10500,10700,10350,10650,302109,0.014285714285714235
2021-12-06,10600,10650,10350,10650,243288,0.0
2021-12-07,10700,10900,10550,10800,284292,0.014084507042253502
2021-12-08,10950,10950,10650,10800,292271,0.0
2021-12-09,10800,10950,10750,10900,201009,0.0092592592592593
2021-12-10,10800,10850,10650,10750,184653,-0.013761467889908285
2021-12-13,10800,11050,10750,10850,311418,0.009302325581395321
2021-12-14,10850,10900,10700,10850,185246,0.0
2021-12-15,10800,10900,10750,10850,131902,0.0
2021-12-16,10900,11000,10850,10950,187991,0.009216589861751112
2021-12-17,10850,10900,10750,10850,173598,-0.0091324200913242
2021-12-20,10800,10800,10600,10700,162945,-0.01382488479262678
2021-12-21,10650,10950,10600,10900,198204,0.01869158878504673
2021-12-22,10950,10950,10750,10800,165001,-0.00917431192660545
2021-12-23,10800,10900,10750,10900,126008,0.0092592592592593
2021-12-24,10900,11200,10850,11100,350476,0.0183486238532109
2021-12-27,11150,11150,10900,11000,178937,-0.009009009009009028
2021-12-28,11050,11200,11050,11200,266960,0.018181818181818077
2021-12-29,11200,11250,11050,11050,196740,-0.013392857142857095
2021-12-30,11100,11150,11000,11100,144126,0.004524886877828038
2022-01-03,11150,11600,11150,11550,402571,0.04054054054054057
2022-01-04,11600,11700,11400,11600,253009,0.0043290043290042934
2022-01-05,11600,11650,11350,11600,297497,0.0
2022-01-06,11400,11750,11300,11600,375412,0.0
2022-01-07,11600,11800,11500,11600,305714,0.0
2022-01-10,11600,11650,11350,11450,236421,-0.012931034482758674
2022-01-11,11450,11450,11200,11350,193021,-0.008733624454148492
2022-01-12,11400,11550,11350,11400,156578,0.004405286343612369
2022-01-13,11550,11550,11200,11250,259890,-0.013157894736842146
2022-01-14,11250,11300,11050,11300,175801,0.004444444444444473
2022-01-17,11200,11600,11150,11550,422330,0.022123893805309658
2022-01-18,11600,11650,11050,11200,338705,-0.030303030303030276
2022-01-19,10950,11250,10850,10950,343352,-0.022321428571428603
2022-01-20,10950,11500,10900,11500,408882,0.05022831050228316
2022-01-21,11400,11600,11300,11500,411108,0.0
